Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time
270,269,1,1329.959506,0,10000000,-1,1.0,0,2,1329.959506,0,0,SAT,fromCSV,0
271,270,1,1442.360685,0,10000000,-1,1.0,0,2,1442.360685,0,0,SAT,fromCSV,0
272,271,1,2035.164063,0,10000000,-1,1.0,0,2,2035.164063,0,0,SAT,fromCSV,0
273,272,1,1318.230944,0,10000000,-1,1.0,0,2,1318.230944,0,0,SAT,fromCSV,0
274,273,1,1943.102596,0,10000000,-1,1.0,0,2,1943.102596,0,0,SAT,fromCSV,0
275,274,1,2250.809494,0,10000000,-1,1.0,0,2,2250.809494,0,0,SAT,fromCSV,0
276,275,1,1271.714717,0,10000000,-1,1.0,0,2,1271.714717,0,0,SAT,fromCSV,0
277,276,1,3770.110326,0,10000000,-1,1.0,0,2,3770.110326,0,0,SAT,fromCSV,0
278,277,1,1417.792032,0,10000000,-1,1.0,0,2,1417.792032,0,0,SAT,fromCSV,0
279,278,1,1620.128845,0,10000000,-1,1.0,0,2,1620.128845,0,0,SAT,fromCSV,0
280,279,1,1395.590972,0,10000000,-1,1.0,0,2,1395.590972,0,0,SAT,fromCSV,0
281,280,1,1414.752908,0,10000000,-1,1.0,0,2,1414.752908,0,0,SAT,fromCSV,0
282,281,1,1812.145883,0,10000000,-1,1.0,0,2,1812.145883,0,0,SAT,fromCSV,0
283,282,1,1521.322055,0,10000000,-1,1.0,0,2,1521.322055,0,0,SAT,fromCSV,0
284,283,1,1292.698578,0,10000000,-1,1.0,0,2,1292.698578,0,0,SAT,fromCSV,0
285,284,1,2836.012122,0,10000000,-1,1.0,0,2,2836.012122,0,0,SAT,fromCSV,0
286,285,1,1433.882412,0,10000000,-1,1.0,0,2,1433.882412,0,0,SAT,fromCSV,0
287,286,1,1454.02874,0,10000000,-1,1.0,0,2,1454.02874,0,0,SAT,fromCSV,0
288,287,1,1752.565517,0,10000000,-1,1.0,0,2,1752.565517,0,0,SAT,fromCSV,0
289,288,1,2277.597145,0,10000000,-1,1.0,0,2,2277.597145,0,0,SAT,fromCSV,0
